"attribute","probit","ergm"
"edges",5762.32810000001,6.15040000000009
"esp",2887.1509,3296.2047
"ideg",42.518,103.2423
"odeg",52.1706,54.7314
"dist",22594.4334,29190.004
"gof_stat","probit obs","probit min","probit mean","probit max","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"edges",1188,1071,1112.09,1142,"1188","1083","1185.52","1261","0.94",5762.32810000001,6.15040000000009,"edges"
"gof_stat","probit obs","probit mean","probit median","probit min","probit max","probit MC p-value","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"esp0",1,0.72,1,0,4,0.990882008609861,"1","0","1.42","7","1",0.0784,0.1764,"esp"
"esp1",5,2.79,2.5,0,8,0.92812889927064,"5","0","6.05","18","0.92",4.8841,1.1025,"esp"
"esp10",23,31.8,31,11,47,0.719472152229238,"23","15","35.31","63","0.2",77.44,151.5361,"esp"
"esp11",21,39.35,39,18,61,0.453893806285934,"21","16","38.42","58","0.04",336.7225,303.4564,"esp"
"esp12",38,49.24,49,29,76,0.646413118444039,"38","21","43.75","71","0.54",126.3376,33.0625,"esp"
"esp13",56,58.44,58,37,82,0.920672631096921,"56","24","47.9","71","0.38",5.95359999999999,65.61,"esp"
"esp14",60,64.6,66,40,95,0.851076556018073,"60","32","52.39","82","0.38",21.1599999999999,57.9121,"esp"
"esp15",65,67.95,67.5,48,96,0.9041649590884,"65","34","57.11","83","0.52",8.70250000000002,62.2521,"esp"
"esp16",70,68.32,67,49,91,0.945333700132875,"70","29","62.02","83","0.38",2.82240000000002,63.6803999999999,"esp"
"esp17",86,71.21,71.5,49,95,0.546082364531798,"86","39","65.26","89","0.06",218.7441,430.1476,"esp"
"esp18",98,69.51,69,42,94,0.244912869397329,"98","40","71.01","104","0.02",811.6801,728.4601,"esp"
"esp19",74,63.64,64,38,91,0.672416101000607,"74","49","70.58","95","0.72",107.3296,11.6964,"esp"
"esp2",11,7.35,7,1,16,0.88157606441796,"11","4","11.09","19","1",13.3225,0.00809999999999998,"esp"
"esp20",67,59.37,60,36,87,0.755487578471195,"67","43","70.01","99","0.82",58.2169,9.06010000000003,"esp"
"esp21",69,54.76,54,34,83,0.561110247613847,"69","37","66.95","99","0.94",202.7776,4.20249999999999,"esp"
"esp22",65,52.22,51.5,33,73,0.601945677470445,"65","28","63.03","114","0.96",163.3284,3.8809,"esp"
"esp23",56,46.69,46,22,72,0.703960598800867,"56","23","56.07","86","0.96",86.6761,0.00490000000000004,"esp"
"esp24",35,38.61,38,19,60,0.882864444979464,"35","15","45.47","84","0.46",13.0321,109.6209,"esp"
"esp25",39,34.8,35,16,54,0.863894045738729,"39","14","35.78","63","0.82",17.64,10.3684,"esp"
"esp26",24,28.15,27.5,11,54,0.865498825664818,"24","12","27.35","55","0.84",17.2225,11.2225,"esp"
"esp27",29,21.69,21,8,34,0.765435064618071,"29","7","21.87","48","0.28",53.4361,50.8369,"esp"
"esp28",10,17.38,16,5,34,0.763255679732312,"10","9","18.16","45","0.14",54.4644,66.5856,"esp"
