"attribute","probit","ergm"
"edges",1565.7849,38.6884000000003
"esp",2164.3973,1696.1556
"ideg",29.7016,42.4231
"odeg",31.8864,61.6122
"dist",16619.5698,44782.6216
"gof_stat","probit obs","probit min","probit mean","probit max","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"edges",1031,951,991.43,1037,"1031","881","1037.22","1209","0.84",1565.7849,38.6884000000003,"edges"
"gof_stat","probit obs","probit mean","probit median","probit min","probit max","probit MC p-value","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"esp0",5,3.18,3,0,7,0.933128920611553,"5","1","4.85","10","1",3.3124,0.0225000000000001,"esp"
"esp1",7,6.62,6,0,14,0.986022235820496,"7","2","10.44","25","0.38",0.1444,11.8336,"esp"
"esp10",39,53.35,53.5,34,71,0.50823476430772,"39","17","38.06","59","0.84",205.9225,0.883599999999996,"esp"
"esp11",45,55.71,56.5,32,76,0.621467788986596,"45","20","42.2","70","0.7",114.7041,7.83999999999998,"esp"
"esp12",65,59.13,59,43,90,0.786676372114727,"65","29","48.7","66","0.02",34.4569,265.69,"esp"
"esp13",69,59.57,60,39,78,0.663737819476093,"69","33","55.32","85","0.12",88.9249,187.1424,"esp"
"esp14",52,60.02,60,39,79,0.711567217203616,"52","31","60.23","77","0.44",64.3204,67.7328999999999,"esp"
"esp15",63,59.4,59,41,80,0.868177800213107,"63","43","64.06","86","0.88",12.96,1.1236,"esp"
"esp16",63,58.14,56.5,38,87,0.822707322907802,"63","42","65.03","85","0.9",23.6196,4.1209,"esp"
"esp17",73,54.35,54,36,73,0.389880020659696,"73","25","66.5","97","0.6",347.8225,42.25,"esp"
"esp18",56,48.12,48,34,71,0.716382613716907,"56","34","64.68","94","0.48",62.0944,75.3424000000001,"esp"
"esp19",54,43.66,44,20,64,0.633566652684012,"54","33","61.53","98","0.64",106.9156,56.7009,"esp"
"esp2",5,7.92,7,2,17,0.892909991544882,"5","4","13.2","25","0.08",8.5264,67.24,"esp"
"esp20",50,37.27,37,22,58,0.557270360502852,"50","21","55.23","82","0.66",162.0529,27.3529,"esp"
"esp21",30,32.41,32,14,55,0.911529086137657,"30","20","47.79","76","0.14",5.80809999999998,316.4841,"esp"
"esp22",33,28.41,27,15,45,0.832406454183064,"33","18","41.63","76","0.5",21.0681,74.4769,"esp"
"esp23",35,24.56,24,10,40,0.630286834180405,"35","12","32.07","63","0.84",108.9936,8.5849,"esp"
"esp24",18,21,20.5,11,34,0.889994430882191,"18","9","25.16","46","0.54",9,51.2656,"esp"
"esp25",26,17.22,18,9,28,0.685631189481871,"26","3","19.25","37","0.34",77.0884,45.5625,"esp"
"esp26",23,14.7,14,6,25,0.701971032144393,"23","3","14.58","30","0.18",68.89,70.8964,"esp"
"esp27",15,11.66,11,5,26,0.877620356055498,"15","4","12.07","23","0.56",11.1556,8.5849,"esp"
"esp28",10,9.45,9,1,18,0.979770158530661,"10","2","8.4","17","0.78",0.302500000000001,2.56,"esp"
"esp29",11,6.97,7,1,18,0.852603079611847,"11","2","7.26","17","0.34",16.2409,13.9876,"esp"
"esp3",19,11.22,11,0,27,0.719829114200332,"19","6","15.99","33","0.64",60.5284,9.0601,"esp"
"esp30",6,5.61,5,0,13,0.985654439051219,"6","2","6.02","12","1",0.1521,0.000399999999999983,"esp"
"esp31",4,4.24,4,0,12,0.991171666956218,"4","0","0.49","3","0",0.0576000000000001,12.3201,"esp"
"esp32",3,2.94,3,0,9,0.997792874517507,"3","0","0.4","2","0",0.00360000000000001,6.76,"esp"
"esp33",2,1.88,2,0,7,0.995585765923865,"2","0","0.59","3","0.18",0.0144,1.9881,"esp"
"esp34",0,1.25,1,0,5,0.954043600134039,"0","0","0.47","3","1",1.5625,0.2209,"esp"
"esp35",4,0.72,0,0,6,0.879801933131465,"4","0","0.51","3","0",10.7584,12.1801,"esp"
"esp36",0,0.29,0,0,3,0.989332531048722,"0","0","0.42","3","1",0.0841,0.1764,"esp"
"esp37",0,0.09,0,0,1,0.996689317054037,"0","0","0.61","3","1",0.0081,0.3721,"esp"
"esp38",0,0.07,0,0,3,0.997425021456297,"0","0","0.39","3","1",0.0049,0.1521,"esp"
"esp39",0,0,0,0,0,1,"0","0","0.27","2","1",0,0.0729,"esp"
"esp4",16,14.6,14,3,27,0.948536076094088,"16","8","19.3","32","0.68",1.96,10.89,"esp"
"esp5",13,21.52,22,5,38,0.694464276753207,"13","10","21.48","37","0.16",72.5904,71.9104,"esp"
"esp6",23,27.96,28,16,51,0.819121831694165,"23","12","22.86","39","1",24.6016,0.0196000000000002,"esp"
"esp7",22,34.99,35,20,51,0.549247751745097,"22","10","26.59","46","0.54",168.7401,21.0681,"esp"
"esp8",27,43.1,43,23,67,0.457923521311323,"27","11","29.04","56","0.86",259.21,4.1616,"esp"
"esp9",45,48.13,49,27,72,0.885259833448684,"45","15","33.29","55","0.2",9.79690000000002,137.1241,"esp"
"gof_stat","probit obs","probit mean","probit median","probit min","probit max","probit MC p-value","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"0",0,0,0,0,0,1,"0","0","0.18","2","1",0,0.0324,"ideg"
"1",0,0.11,0,0,1,0.904864272668465,"0","0","0.4","3","1",0.0121,0.16,"ideg"
"10",2,1.22,1,0,6,0.396717820486935,"2","0","1.15","5","0.56",0.6084,0.7225,"ideg"
"11",1,1.33,1,0,5,0.719926759134268,"1","0","0.88","4","1",0.1089,0.0144,"ideg"
"12",1,1.45,1,0,5,0.624883519474559,"1","0","0.93","4","1",0.2025,0.00489999999999999,"ideg"
"13",1,1.44,1,0,5,0.632596417170805,"1","0","1.06","4","1",0.1936,0.00360000000000001,"ideg"
"14",4,1.56,1,0,5,0.00802190710679622,"4","0","1.05","4","0.02",5.9536,8.7025,"ideg"
"15",1,1.87,2,0,6,0.344512989987587,"1","0","1.13","5","1",0.7569,0.0169,"ideg"
"16",0,2.24,2,0,8,0.0149396269449447,"0","0","1.23","4","0.58",5.0176,1.5129,"ideg"
"17",1,2.47,2,0,7,0.110219566630802,"1","0","1.56","6","1",2.1609,0.3136,"ideg"
"18",4,2.79,3,0,7,0.188608115459384,"4","0","1.62","5","0.1",1.4641,5.6644,"ideg"
"19",4,2.97,3,0,8,0.263084062391356,"4","0","1.79","5","0.12",1.0609,4.8841,"ideg"
"2",0,0.24,0,0,1,0.794271041873709,"0","0","0.5","2","1",0.0576,0.25,"ideg"
"20",3,2.96,3,0,8,0.965333721233923,"3","0","1.78","6","0.5",0.0016,1.4884,"ideg"
"21",4,2.78,3,0,7,0.184981114894289,"4","0","2.14","7","0.32",1.4884,3.4596,"ideg"
"22",2,2.51,2,0,6,0.579487792630538,"2","0","2.13","7","1",0.2601,0.0169,"ideg"
"23",2,1.99,2,0,6,0.991330872423734,"2","0","2.42","6","1",1e-04,0.1764,"ideg"
"24",2,1.94,2,0,5,0.948021032251603,"2","0","2.51","7","0.94",0.00360000000000001,0.2601,"ideg"
"25",1,1.89,2,0,5,0.333535785298641,"1","0","2.65","7","0.42",0.7921,2.7225,"ideg"
"26",3,1.75,2,0,4,0.174409988150018,"3","0","2.7","7","1",1.5625,0.0899999999999999,"ideg"
"27",3,1.89,2,0,5,0.227796559390673,"3","0","2.27","7","0.78",1.2321,0.5329,"ideg"
