"attribute","probit","ergm"
"edges",1565.7849,38.6884000000003
"esp",2164.3973,1696.1556
"ideg",29.7016,42.4231
"odeg",31.8864,61.6122
"dist",16619.5698,44782.6216
"gof_stat","probit obs","probit min","probit mean","probit max","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"edges",1031,951,991.43,1037,"1031","881","1037.22","1209","0.84",1565.7849,38.6884000000003,"edges"
"gof_stat","probit obs","probit mean","probit median","probit min","probit max","probit MC p-value","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"28",1,1.54,1,0,4,0.557385652330716,"1","0","2.13","6","0.82",0.2916,1.2769,"ideg"
"29",1,1.21,1,0,5,0.8195121918049,"1","0","2.3","5","0.56",0.0441,1.69,"ideg"
"3",0,0.23,0,0,1,0.802662254546169,"0","0","0.67","3","0.98",0.0529,0.4489,"ideg"
"30",2,0.92,1,0,4,0.24061209999304,"2","0","1.73","7","1",1.1664,0.0729,"ideg"
"31",1,0.83,1,0,3,0.853455704674442,"1","0","2.1","7","0.74",0.0289,1.21,"ideg"
"32",1,0.78,1,0,3,0.811076282498036,"1","0","1.22","4","1",0.0484,0.0484,"ideg"
"33",0,0.72,1,0,4,0.434035065239676,"0","0","0.56","4","1",0.5184,0.3136,"ideg"
"34",0,0.63,1,0,3,0.493648570332359,"0","0","0.21","2","1",0.3969,0.0441,"ideg"
"35",0,0.52,0,0,3,0.572074849415235,"0","0","0.1","1","1",0.2704,0.01,"ideg"
"36",2,0.45,0,0,2,0.0921565748461476,"2","0","0.17","1","0",2.4025,3.3489,"ideg"
"37",0,0.23,0,0,2,0.802662254546169,"0","0","0.04","1","1",0.0529,0.0016,"ideg"
"38",0,0.11,0,0,1,0.904864272668465,"0","0","0.12","1","1",0.0121,0.0144,"ideg"
"39",0,0.08,0,0,1,0.930732851325086,"0","0","0.07","1","1",0.0064,0.0049,"ideg"
"4",1,0.41,0,0,3,0.521486376611406,"1","0","0.74","3","1",0.3481,0.0676,"ideg"
"40",0,0,0,0,0,1,"0","0","0.09","1","1",0,0.0081,"ideg"
"41",0,0,0,0,0,1,"0","0","0.16","1","1",0,0.0256,"ideg"
"42",0,0.01,0,0,1,0.991330872423734,"0","0","0.24","1","1",1e-04,0.0576,"ideg"
"43",0,0,0,0,0,1,"0","0","0.26","2","1",0,0.0676,"ideg"
"5",0,0.29,0,0,2,0.752689324260843,"0","0","0.76","3","1",0.0841,0.5776,"ideg"
"6",0,0.49,0,0,2,0.594447362987659,"0","0","1.04","3","0.66",0.2401,1.0816,"ideg"
"7",0,0.86,1,0,4,0.350087059071966,"0","0","1.01","3","0.62",0.7396,1.0201,"ideg"
"8",1,1.05,1,0,4,0.956674821936275,"1","0","1.01","5","1",0.0025,1e-04,"ideg"
"9",1,1.24,1,0,5,0.794271041873709,"1","0","0.94","4","1",0.0576,0.00360000000000001,"ideg"
"gof_stat","probit obs","probit mean","probit median","probit min","probit max","probit MC p-value","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"0",3,4.79,5,4,7,0.00528428573192974,"3","0","0.43","3","0.02",3.2041,6.6049,"odeg"
"1",3,1.72,2,0,5,0.046098280367019,"3","0","1.11","4","0.2",1.6384,3.5721,"odeg"
"10",2,0.97,1,0,4,0.108506343905042,"2","0","0.83","3","0.38",1.0609,1.3689,"odeg"
"11",0,0.84,1,0,4,0.190573114133074,"0","0","0.76","4","0.9",0.7056,0.5776,"odeg"
"12",1,0.97,1,0,5,0.96271573676952,"1","0","0.64","3","1",0.000900000000000002,0.1296,"odeg"
"13",1,1.11,1,0,3,0.86390793212287,"1","0","0.71","3","1",0.0121,0.0841,"odeg"
"14",0,1.05,1,0,5,0.101817202389424,"0","0","0.83","4","0.88",1.1025,0.6889,"odeg"
"15",2,1.34,1,0,4,0.303756962629997,"2","0","0.87","5","0.42",0.4356,1.2769,"odeg"
"16",1,1.31,1,0,4,0.629066550744137,"1","0","0.96","4","1",0.0961,0.0016,"odeg"
"17",1,1.24,1,0,4,0.708428639784735,"1","0","1.05","4","1",0.0576,0.0025,"odeg"
"18",2,1.19,1,0,4,0.206898536404895,"2","0","1.21","5","0.7",0.6561,0.6241,"odeg"
"19",3,1.37,1,0,4,0.0110896440556973,"3","0","1.19","4","0.16",2.6569,3.2761,"odeg"
"2",2,1.99,2,0,5,0.987567888906392,"2","0","1.6","5","0.94",1e-04,0.16,"odeg"
"20",0,1.25,1,0,5,0.051445316450623,"0","0","1.37","5","0.52",1.5625,1.8769,"odeg"
"21",0,1.19,1,0,4,0.0637027493759618,"0","0","1.54","5","0.5",1.4161,2.3716,"odeg"
"22",3,0.95,1,0,4,0.00140168391293694,"3","0","1.43","4","0.4",4.2025,2.4649,"odeg"
"23",0,1.03,1,0,4,0.108506343905042,"0","0","1.97","5","0.2",1.0609,3.8809,"odeg"
"24",2,0.97,1,0,3,0.108506343905042,"2","0","1.66","5","1",1.0609,0.1156,"odeg"
"25",0,1.1,1,0,4,0.0865256363850148,"0","0","2.02","6","0.2",1.21,4.0804,"odeg"
"26",1,0.7,1,0,4,0.640171423799441,"1","0","2.04","6","0.76",0.09,1.0816,"odeg"
"27",1,0.86,1,0,3,0.827314114378576,"1","0","1.86","6","0.92",0.0196,0.7396,"odeg"
"28",0,0.52,0,0,3,0.417789324359122,"0","0","2.08","7","0.22",0.2704,4.3264,"odeg"
"29",1,0.64,1,0,3,0.574830968647326,"1","0","1.9","7","0.88",0.1296,0.81,"odeg"
"3",1,1.21,1,0,4,0.743500441217231,"1","0","1.43","4","1",0.0441,0.1849,"odeg"
"30",1,0.67,0.5,0,3,0.60710863973386,"1","0","1.91","5","0.92",0.1089,0.8281,"odeg"
"31",0,0.6,0,0,4,0.349830422495008,"0","0","1.85","6","0.28",0.36,3.4225,"odeg"
"32",0,0.68,1,0,3,0.289338430998595,"0","0","1.46","5","0.42",0.4624,2.1316,"odeg"
"33",1,0.7,1,0,3,0.640171423799441,"1","0","1.05","4","1",0.09,0.0025,"odeg"
"34",2,0.77,1,0,4,0.0552909997683663,"2","0","0.74","3","0.34",1.5129,1.5876,"odeg"
"35",0,0.92,1,0,4,0.151703192955966,"0","0","0.45","4","1",0.8464,0.2025,"odeg"
"36",1,1,1,0,4,1,"1","0","0.26","2","0.48",0,0.5476,"odeg"
"37",1,1.08,1,0,4,0.900796075484832,"1","0","0.27","2","0.44",0.00640000000000001,0.5329,"odeg"
"38",2,1.09,1,0,4,0.156202626920761,"2","0","0.26","2","0.08",0.8281,3.0276,"odeg"
"39",1,0.92,1,0,4,0.900796075484832,"1","0","0.28","3","0.48",0.00639999999999999,0.5184,"odeg"
"4",0,0.92,1,0,4,0.151703192955966,"0","0","1.68","5","0.38",0.8464,2.8224,"odeg"
"40",1,0.79,1,0,3,0.743500441217231,"1","0","0.35","2","0.64",0.0441,0.4225,"odeg"
"41",0,0.79,1,0,3,0.218331946190758,"0","0","0.34","2","1",0.6241,0.1156,"odeg"
"42",0,0.63,0,0,2,0.326265317669904,"0","0","0.3","2","1",0.3969,0.09,"odeg"
"43",1,0.59,1,0,2,0.522913480995701,"1","0","0.37","3","0.62",0.1681,0.3969,"odeg"
"44",1,0.56,0,0,2,0.492961137144957,"1","0","0.3","1","0.6",0.1936,0.49,"odeg"
"45",0,0.4,0,0,2,0.533101297464316,"0","0","0.28","2","1",0.16,0.0784,"odeg"
"46",0,0.41,0,0,2,0.522913480995701,"0","0","0.44","2","1",0.1681,0.1936,"odeg"
"47",1,0.64,1,0,2,0.574830968647326,"1","0","0.33","2","0.64",0.1296,0.4489,"odeg"
"48",1,0.65,1,0,2,0.58549976439566,"1","0","0.17","1","0.34",0.1225,0.6889,"odeg"
"49",0,0,0,0,0,1,"1","0","0.07","1","0.14",0,0.8649,"odeg"
"5",2,0.79,1,0,3,0.0593733576522907,"2","0","1.43","4","0.96",1.4641,0.3249,"odeg"
"6",0,0.79,1,0,5,0.218331946190758,"0","0","1.23","6","0.54",0.6241,1.5129,"odeg"
"7",1,1,1,0,5,1,"1","0","0.89","4","1",0,0.0121,"odeg"
"8",1,0.97,1,0,4,0.96271573676952,"1","0","1.02","4","1",0.000900000000000002,0.000400000000000001,"odeg"
"9",1,0.83,1,0,4,0.791091498917333,"1","0","0.78","3","1",0.0289,0.0484,"odeg"
"gof_stat","probit obs","probit mean","probit median","probit min","probit max","probit MC p-value","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"1",1031,991.43,991,951,1037,0.940176883825762,"1031","881","1037.22","1209","0.84",1565.7849,38.6884000000003,"dist"
"2",1140,1160.21,1162,1054,1251,0.969424717580703,"1140","1172","1306.52","1439","0",408.444100000001,27728.9104,"dist"
"3",132,56.28,53,0,141,0.885809394876042,"132","10","74.6","165","0.12",5733.5184,3294.76,"dist"
"4",0,0.68,0,0,31,0.998970990727972,"0","0","1.78","36","1",0.4624,3.1684,"dist"
"5",0,0,0,0,0,1,"0","0","0","0","1",0,0,"dist"
"Inf",147,241.4,245,196,343,0.857908766916998,"147","0","29.88","147","0.02",8911.36,13717.0944,"dist"
